scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,1,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8771342438466596,74.7
h2_0.1,h2_sweep,1,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8264329071299434,50.4
h2_0.1,h2_sweep,1,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6355022507046739,74.7
h2_0.1,h2_sweep,1,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.45297933126763,50.4
h2_0.1,h2_sweep,1,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8787970472318525,74.7
h2_0.1,h2_sweep,1,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7987692257357757,50.4
h2_0.1,h2_sweep,1,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.594051187916145,74.7
h2_0.1,h2_sweep,1,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.45700433273852686,50.4
h2_0.1,h2_sweep,1,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.874030935508801,74.0
h2_0.1,h2_sweep,1,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.8100223631521677,50.4
h2_0.1,h2_sweep,1,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6421316257361308,74.0
h2_0.1,h2_sweep,1,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.4660877259392332,50.4
h2_0.1,h2_sweep,1,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8725470529159897,74.0
h2_0.1,h2_sweep,1,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.8036939988980634,50.4
h2_0.1,h2_sweep,1,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6086201096274256,74.0
h2_0.1,h2_sweep,1,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.435860154371983,50.4
h2_0.1,h2_sweep,10,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8749787642308877,74.4
