scenario,group,rg,frac_shared_causal,pop,trait,phi_mode,seed,corr_prscsx,corr_prscsx_mt,delta
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,1,0.8787970472318525,0.7987692257357757,-0.08002782149607679
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,10,0.8546248465624292,0.756503694097599,-0.09812115246483022
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,11,0.8772295180525976,0.7879974215332018,-0.08923209651939579
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,12,0.8624723524211199,0.8046463861995254,-0.057825966221594416
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,13,0.8585319570733133,0.7996820884233137,-0.05884986864999964
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,14,0.8642480399779323,0.8111910892620214,-0.05305695071591088
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,15,0.8717945886360039,0.8009140026475701,-0.07088058598843383
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,16,0.8820617246193481,0.8118013650660346,-0.07026035955331345
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,17,0.8500063181867765,0.7339756420856832,-0.1160306761010933
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,18,0.8706018926964573,0.8083190063876194,-0.062282886308837826
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,19,0.8608502018147564,0.7735084999357826,-0.08734170187897372
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,2,0.860350557465294,0.7708251582448039,-0.08952539922049008
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,20,0.8668490523622976,0.7986028800172033,-0.06824617234509434
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,21,0.8669284594063414,0.7788253196357826,-0.08810313977055884
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,22,0.866804426124633,0.764576605954254,-0.10222782017037901
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,23,0.851363184964997,0.7526719727790508,-0.09869121218594612
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,24,0.8700187807956894,0.7900806619193119,-0.07993811887637747
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,25,0.8581801758984219,0.7722570500067032,-0.08592312589171869
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,26,0.8529049241109523,0.7672741831399106,-0.08563074097104173
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,27,0.8744559055928753,0.8014504223482064,-0.07300548324466893
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,28,0.8716444181569839,0.7882067231650699,-0.083437694991914
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,29,0.8328563815114479,0.7195944159791801,-0.11326196553226786
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,3,0.8745763205901801,0.7786656011958997,-0.09591071939428042
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,30,0.8766252274110071,0.8256223762623901,-0.05100285114861702
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,4,0.8714023875526463,0.7843222289141409,-0.08708015863850538
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,5,0.8776696107644544,0.760903881963443,-0.11676572880101133
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,6,0.875926831269818,0.8142338483327439,-0.06169298293707404
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,7,0.877447523370807,0.7617342228831817,-0.11571330048762529
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,8,0.8622645250095828,0.7859896265209212,-0.07627489848866165
h2_0.1,h2_sweep,0.6,1.0,EAS,0,auto,9,0.8605462004065632,0.7576081408177466,-0.10293805958881652
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,1,0.594051187916145,0.45700433273852686,-0.1370468551776181
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,10,0.6007325236679191,0.42936218274867616,-0.17137034091924291
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,11,0.5906926173810534,0.47908162970172685,-0.11161098767932653
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,12,0.6163731881931076,0.4461543231608604,-0.1702188650322472
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,13,0.5969483751321147,0.536463306987752,-0.06048506814436272
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,14,0.5398983088437846,0.4313854391747759,-0.10851286966900875
